pid,starttime,endtime,duration,recordeddate,commitment,firstclick,lastclick,pagesubmit,clickcount,browser,browser_version,os,resolution,phoneos,phoneos_othertext,devicelock,unlock_parents,unlock_spouse,unlock_siblings,unlock_friends,unlock_children,unlock_otherfamily,unlock_colleagues,unlock_strangers,unlock_noone,unlock_others,unlock_otherstext,numbernotifications,checkfrequency,checkfrequencytext,screenwakeup,dnd,silent,turnoff,airplane,notificationapps,modeusereasons,view_home,view_meetings,view_classes,view_seminars,view_cafes,view_gatherings,view_stores,view_transport,view_others,view_otherstext,share_spouse,share_siblings,share_parents,share_children,share_friends,share_colleagues,share_strangers,share_reason,share_notallow,share_nothing,share_closeapps,share_clear,share_guestmode,share_applock,share_accessibility,share_watchuse,share_checkapps,share_other,share_othertext,clear_spouse,clear_siblings,clear_parents,clear_children,clear_friends,clear_colleagues,clear_strangers,lastnotificationapp,lnandroid_lockscreen,lnandroid_drawer,lnandroid_floating,lnandroid_appbadge,lnandroid_dontknow,lnandroid_other,lnandroid_othertext,lnios_lockscreen,lnios_notificationcenter,lnios_permbanner,lnios_tempbanner,lnios_appbadge,lnios_dontknow,lnios_other,lnios_othertext,ln_addresstime,ln_addresstimetext,lnaction_readpreview,lnaction_readcontent,lnaction_clearlockscreen,lnaction_clearcenter,lnaction_address,lnaction_nothing,lnaction_preventfurther,lnaction_other,lnaction_preventfurthertext,lnaction_othertext,ln_selfconcern,ln_selfconcerntext,ln_othersinfo,ln_othersinfotext,ln_othersconcern,negativeexperiences,negativeexperiencestext,nereason_shared,nereason_unlocked,nereason_notsilenced,nereason_screencast,nereason_sensitive,nereason_other,nereason_sensitivetext,nereason_othertext,appconcernfamily_im,appconcernfamily_social,appconcernfamily_calendar,appconcernfamily_email,appconcernfamily_banking,appconcernfamily_health,appconcernfamily_dating,appconcernfamily_reason,appconcerncolleague_im,appconcerncolleague_social,appconcerncolleague_calendar,appconcerncolleague_email,appconcerncolleague_banking,appconcerncolleague_health,appconcerncolleague_dating,appconcerncolleague_reason,applock_im,applock_social,applock_calendar,applock_email,applock_banking,applock_health,applock_dating,applock_work,applock_travel,applock_none,android_lockscreen,ios_preview,preview_im,preview_social,preview_calendar,preview_email,preview_banking,preview_work,preview_travel,preview_health,preview_dating,muipc_location,muipc_collectinfo,muipc_monitor,muipc_othersknow,muipc_privateinfo,muipc_privacyinvasion,gdd_1,gdd_2,gdd_3,gdd_4,gdd_5,birthyear,gender,gendertext,ethnicity_nativeamerican,ethnicity_asian,ethnicity_black,ethnicity_pi,ethnicity_white,ethnicity_hispanic,ethnicity_other,ethnicity_nosay,ethnicity_othertext,education,educationtext,employment_full,employment_part,employment_looking,employment_notlooking,employment_homemaker,employment_student,employment_retired,employment_disabled,employment_other,employment_nosay,employment_othertext,profession,fieldofstudy,income,yearsinusa,householdsize,marital,maritaltext,comments,attentioncheck1,attentioncheck1text,attentioncheck2
1,7/11/20 23:38,7/11/20 23:49,641,7/11/20 23:49,I will provide my best answers.,4.498,4.498,6.962,1,Safari iPhone,14,iPhone,414x896,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,,,7,0,0,0,0,NA,Few times a day,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bed bath and beyond,NA,NA,NA,NA,NA,NA,NA,NA,Notification Center,Banner (permanently),NA,NA,NA,NA,NA,within an hour,NA,NA,Read the notification content,NA,Cleared it from the notification center/drawer,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat concerned,N/A,NA,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,N/A,NA,NA,NA,NA,NA,Banking and payments,NA,NA,NA,NA,NA,NA,When unlocked,When unlocked,Notification disabled,Always,Notification disabled,When unlocked,When unlocked,When unlocked,Never,N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Disagree,1970,Female,NA,American Indian or Native American,NA,NA,NA,NA,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manufacturing,NA,"$40,000 to $49,999",More than 10 or All my life,5,Married,NA,No,Translate,NA,Somewhat agree
2,7/11/20 23:53,7/11/20 23:59,400,7/11/20 23:59,I will provide my best answers.,7.497,7.497,12.151,1,Chrome,86.0.4240.183,Windows NT 10.0,1920x1080,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 3 hours,NA,Most of the time,0,1,0,0,2,NA,Few times a week,Few times a month,Never,Never,Never,NA,Never,Never,Never,NA,Once a day,Never,Never,Never,Never,Never,Never,NA,NA,NA,Close running applications,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gmail,Lock Screen,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,Read the notification preview (title),Read the notification content,NA,Cleared it from the notification center/drawer,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Somwhat concerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat concerned,NA,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,Somwhat concerned,NA,NA,NA,NA,NA,Banking and payments,NA,NA,Apps for work,NA,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Rather agree,"Neither disagree, neither agree","Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1982,Male,NA,NA,Asian,NA,NA,NA,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IT,NA,"$90,000 to $99,999",More than 10 or All my life,3,Married,NA,NA,Translate,NA,Somewhat agree
3,7/11/20 23:53,8/11/20 00:01,490,8/11/20 00:01,I will provide my best answers.,4.125,4.125,5.078,1,Chrome,86.0.4240.183,Windows NT 10.0,1360x768,Android,NA,Yes,NA,NA,NA,Friends,NA,NA,NA,NA,NA,NA,NA,20 to 29,Once in about 5 minutes,NA,Always,0,24,0,0,0,NA,Few times a day,Few times a day,Few times a week,Once a day,Few times a day,NA,Few times a day,Once a day,Few times a week,NA,Once a day,Few times a day,Multiple times a day,Few times a day,Multiple times a day,Few times a day,Multiple times a day,NA,NA,NA,Close running applications,Clear notifications,NA,NA,NA,NA,Check all the applications used by the person,NA,NA,Sometimes,Never,Never,Never,Always,N/A,N/A,INSTAGRAM,Lock Screen,NA,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,NA,Yes,NA,Extremely concerned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,Neither concerned nor unconcerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,I PROVIDE THE MY BEST ANSWER,Extremely concerned,Neither concerned nor unconcerned,Extremely concerned,Somwhat concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,I PROVIDE THE MY BEST ANSWER,Instant messaging,Social media,NA,E-mail,Banking and payments,NA,NA,Apps for work,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Agree,Strongly agree,Agree,Agree,Somewhat agree,Agree,Rather agree,Agree,Agree,Rather agree,1991,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Master's degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,INFORMATION TECHNOLOGY,NA,"$60,000 to $69,999",More than 10 or All my life,2,Married,NA,NICE STUDY AND THANKS FOR THE OPPORTUNITY,Translate,NA,Somewhat agree
4,7/11/20 23:59,8/11/20 00:13,883,8/11/20 00:13,I will provide my best answers.,3.52,3.52,8.49,1,Chrome,86.0.4240.183,Windows NT 10.0,1366x768,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,1 to 9,Once in about 15 minutes,NA,Most of the time,0,0,0,0,0,I like to hear all my notifications and calls.,Never,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,My phone is only used by myself.,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gmail,NA,Notification drawer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within a minute,NA,NA,Read the notification content,NA,NA,Opened the relevant app to address the notification,NA,NA,NA,NA,NA,Somewhat unconcerned,"It was only a work email, nothing sensitive.",No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat concerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat concerned,Somwhat concerned,Completely unconcerned,N/A,Most of my notifications aren't sensitive in nature.,Somwhat concerned,Somwhat concerned,Completely unconcerned,Completely unconcerned,Somwhat unconcerned,Somwhat unconcerned,N/A,My work and personal life do not need to see each other.,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,1984,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Some college,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical Support,NA,"$30,000 to $39,999",More than 10 or All my life,3,Never Married,NA,Thanks for the opportunity.,Translate,NA,Somewhat agree
5,8/11/20 00:24,8/11/20 00:46,1345,8/11/20 00:46,I will provide my best answers.,1.029,3.4,4.723,4,Safari iPhone,14,iPhone,375x812,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 15 minutes,NA,Always,0,0,2,1,0,I only turn off to restart and airplane mode if I need to “reset “ my phone but besides that I don’t do any of th above.,Few times a day,Never,Never,Never,Never,NA,Never,Never,Never,NA,Multiple times a day,N/A,N/A,Multiple times a day,N/A,N/A,N/A,NA,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Messages,NA,NA,NA,NA,NA,NA,NA,Lock Screen,Notification Center,NA,Banner (temporarily),NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,I have nothing to hide and nothing private on my phone,Yes,NA,Not at all concerned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,N/A,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NA,NA,NA,NA,NA,Banking and payments,NA,NA,NA,NA,NA,NA,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Rather agree,"Neither disagree, neither agree","Neither disagree, neither agree","Neither disagree, neither agree","Neither disagree, neither agree",1989,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,Some college,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Front desk supervisor,NA,"$10,000 to $19,999",More than 10 or All my life,3,Never Married,NA,NA,Translate,NA,Somewhat agree
6,8/11/20 03:05,8/11/20 03:17,733,8/11/20 03:17,I will provide my best answers.,3.165,3.165,4.521,1,Chrome,86.0.4240.183,Macintosh,2880x1620,iOS (iPhone),NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,10 to 19,Once in about 15 minutes,NA,About half the time,0,8,0,0,24,NA,Never,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CNN,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,Banner (permanently),NA,NA,NA,NA,NA,within 5 minutes,NA,Read the notification preview (title),Read the notification content,Cleared it from the phone lock screen,Cleared it from the notification center/drawer,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somwhat unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat unconcerned,N/A,NA,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,Extremely concerned,N/A,NA,NA,NA,NA,E-mail,Banking and payments,NA,NA,NA,NA,NA,NA,Never,Never,Always,Always,Never,Never,Always,Always,Never,N/A,Somewhat disagree,Agree,Agree,Agree,Disagree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,1976,Male,NA,NA,Asian,NA,NA,NA,NA,NA,NA,NA,Doctoral degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,research scientist,NA,"More than $100,000",More than 10 or All my life,3,Married,NA,none,Translate,NA,Somewhat agree
7,9/11/20 00:06,9/11/20 00:21,860,9/11/20 00:21,I will provide my best answers.,2.038,2.038,6.137,1,Chrome,86.0.4240.183,Windows NT 10.0,1366x768,Android,NA,Yes,Parents,Spouse,NA,NA,Children older than 13,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,NA,Always,3,2,6,3,7,good work,Few times a day,Once a day,Once a day,Few times a day,Few times a week,NA,Few times a day,Once a day,Once a day,NA,Multiple times a day,Few times a day,Once a day,Once a day,Multiple times a week,Once a day,Few times a day,useing very easy smardphone,NA,NA,NA,NA,Enable guest mode or second space,NA,NA,Watch over the other person's use of the phone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,whatsPP,NA,NA,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within an hour,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,GOOD READING IN THE APPLICATIONS,Yes,NA,Extremely concerned,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Extremely concerned,Somwhat concerned,Somwhat concerned,Neither concerned nor unconcerned,Neither concerned nor unconcerned,Somwhat concerned,Neither concerned nor unconcerned,UESING SOCIAL MEDIA AND EMAIL HEATH CONDITION EXPLAN,Extremely concerned,Somwhat concerned,Neither concerned nor unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Neither concerned nor unconcerned,"ach firm's DSBS profile has two fields relevant to HUBZone certification. ... This includes documents that you uploaded to SBA as part of the application ... Your firm's profile will reflect whether you are HUBZone certified and if so, the date that ... For more information read the FAQs in the “Who is Considered an Employee",NA,NA,NA,NA,NA,NA,NA,Apps for work,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Agree,Somewhat agree,Agree,Agree,Strongly agree,Agree,Rather agree,Agree,Agree,Agree,1984,Male,NA,NA,NA,Black or African American,NA,NA,NA,NA,NA,NA,Master's degree,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MANAGER,NA,"$70,000 to $79,999",More than 10 or All my life,6,Married,NA,VERY LIKE IN THE SURVRY,Translate,NA,Somewhat agree
8,9/11/20 02:47,9/11/20 02:58,654,9/11/20 02:58,I will provide my best answers.,4.507,4.507,5.41,1,Chrome,86.0.4240.183,Windows NT 10.0,1600x900,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,NA,Always,0,24,0,0,0,I have my phone set to silent mode due to my job as I am in court a lot and I dont want to be the one that has my phone go off in front of a packed court so I leave it in silent mode all the time.,Few times a month,Never,Never,Never,Never,NA,Never,Never,Never,NA,Never,Never,Never,Less than once a week,Never,Never,Never,Everyone has their own device(s) so there is no need to lend mine to anyone unless i want them to read something on my screen or watch a video i am playing,NA,Nothing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,imessage,NA,NA,NA,NA,NA,NA,NA,Lock Screen,Notification Center,NA,Banner (temporarily),NA,NA,NA,NA,within a minute,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,i am not a CIA spy so i dont worry about what is sent to my phone,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,sometimes i get sensitive emails that i cant let co-workers read that might be work related,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,Always,Always,Always,Always,Always,Always,Always,Always,Always,Always,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Rather agree,Rather disagree,Rather disagree,Rather disagree,Rather disagree,1981,Male,NA,NA,NA,NA,NA,NA,Hispanic,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,probation officer,NA,"More than $100,000",More than 10 or All my life,6,Married,NA,NA,Translate,NA,Somewhat agree
9,9/11/20 11:33,9/11/20 11:44,679,9/11/20 11:44,I will provide my best answers.,16.021,16.021,17.836,1,Chrome,86.0.4240.183,Windows NT 10.0,1280x720,Android,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,No one,NA,NA,1 to 9,Once in about 15 minutes,NA,Always,0,8,2,8,0,NA,Few times a day,Few times a month,Few times a month,Few times a month,Few times a week,NA,Few times a week,Never,Once a day,car,Never,Never,Never,Never,Never,Never,Never,NA,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Whats app,Lock Screen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat concerned,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,Somwhat unconcerned,Completely unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,NA,Neither concerned nor unconcerned,Somwhat unconcerned,Somwhat unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Somwhat concerned,NA,NA,Social media,NA,NA,Banking and payments,NA,Dating,NA,Travel and navigation,NA,Hide Sensitive,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,"Neither disagree, neither agree",Rather disagree,"Neither disagree, neither agree",Rather agree,"Neither disagree, neither agree",1992,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,asst manager,NA,"$40,000 to $49,999",More than 10 or All my life,4,Married,NA,n/a,Translate,NA,Somewhat agree
10,11/11/20 03:57,11/11/20 04:04,448,11/11/20 04:04,I will provide my best answers.,0,0,4.777,0,Edge,84.0.522.52,Windows NT 10.0,1536x864,iOS (iPhone),NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,NA,Always,0,12,0,0,0,I generally have my phone on silent for the 8 hours I sleep at night and then for at least about 4 hours in the evening when spending time with the family.,Few times a day,Never,Never,Never,Never,Few times a month,Never,Never,Never,NA,Never,Never,Never,Never,Never,Never,Never,The only person I would ever share my phone with is my spouse and children and they all have their own phones.,I don't allow anyone else to use my smartphone,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Email,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,NA,NA,NA,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,NA,No,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completely unconcerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Neither concerned nor unconcerned,Completely unconcerned,N/A,I really don't have anything that is sensitive coming across at any time I would not anyone to view it.  I put NA for dating as I don't use those apps.  Email I'm not concerned because I turn my work email notifications off after work and only have my personal which I use rarely.  Banking I put neither concerned or unconcerned.  This is because banking is a grey area.  I've never had anything pop up with any sensitive information so as of right now it is an unknown but i do use a banking app.,Somwhat concerned,Completely unconcerned,Completely unconcerned,Completely unconcerned,Somwhat concerned,Completely unconcerned,N/A,Banking info is always a concern if someone else is reading it.  Instant messaging I'd say I'm somewhat concerned as I don't know what is coming across in a message until I read it.  I can't control what information a family member may send me over messaging.,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,NA,Always,Always,Always,Always,Always,Always,Always,Always,Always,N/A,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Disagree,Disagree,Disagree,Disagree,Disagree,1980,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,High school diploma,NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Technical Support,NA,"$40,000 to $49,999",More than 10 or All my life,4,Married,NA,No,Translate,NA,Somewhat agree
11,11/11/20 04:19,11/11/20 04:34,877,11/11/20 04:34,I will provide my best answers.,3.128,3.128,5.393,1,Chrome,86.0.4240.183,Macintosh,1280x800,iOS (iPhone),NA,Yes,NA,NA,NA,Friends,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 1 hour,NA,Always,2,4,1,2,1,NA,Few times a week,Never,Few times a month,Few times a week,Never,Never,Never,Few times a week,Few times a week,NA,Never,N/A,Once a day,Few times a day,N/A,Multiple times a week,Multiple times a day,NA,NA,NA,NA,Clear notifications,NA,NA,NA,NA,NA,NA,NA,N/A,Rarely,Always,Rarely,Rarely,Always,Always,Amazon,NA,NA,NA,NA,NA,NA,NA,Lock Screen,NA,NA,NA,App Badge,NA,NA,NA,within 30 minutes,NA,Read the notification preview (title),Read the notification content,Cleared it from the phone lock screen,NA,NA,NA,NA,NA,NA,NA,Neither concerned nor unconcerned,NA,No,NA,NA,1-2,Seeing a notification that is ought to be private,I had given my phone to another person when the notification arrived.,NA,NA,NA,NA,NA,NA,NA,N/A,Neither concerned nor unconcerned,Somwhat unconcerned,Completely unconcerned,Completely unconcerned,Extremely concerned,Somwhat unconcerned,nil,N/A,Somwhat concerned,Somwhat unconcerned,Completely unconcerned,Somwhat concerned,N/A,Extremely concerned,nil,Instant messaging,NA,NA,E-mail,Banking and payments,NA,Dating,NA,NA,NA,NA,When unlocked,When unlocked,When unlocked,When unlocked,When unlocked,Notification disabled,Always,N/A,Notification disabled,Always,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,Rather disagree,Agree,"Neither disagree, neither agree","Neither disagree, neither agree",Agree,1991,Male,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,NA,Employed part-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,sales rep,NA,"$20,000 to $29,999",5,2,Never Married,NA,NA,Translate,NA,Somewhat agree
12,11/11/20 05:35,11/11/20 05:48,737,11/11/20 05:48,I will provide my best answers.,8.948,8.948,10.24,1,Chrome,86.0.4240.111,Windows NT 6.3,1366x768,Android,NA,Yes,NA,Spouse,NA,NA,NA,NA,NA,NA,NA,NA,NA,1 to 9,Once in about 30 minutes,NA,Sometimes,1,3,0,1,10,NA,Few times a day,Once a day,Few times a day,Few times a day,Few times a week,Once a day,Few times a day,Once a day,Never,NA,Few times a day,Once a day,Multiple times a week,Multiple times a week,Once a day,Few times a day,Multiple times a day,NA,NA,NA,Close running applications,Clear notifications,NA,Enable app locks,NA,NA,NA,NA,NA,Always,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Always,AMAZON,NA,NA,Floating notification,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within 5 minutes,NA,NA,Read the notification content,NA,Cleared it from the notification center/drawer,NA,NA,NA,NA,NA,NA,Extremely concerned,NA,No,NA,NA,3-5,SOMEONE USE MY PHONE THAT TIME RECIEVE MY PERSONAL NOTIFICATION,I had given my phone to another person when the notification arrived.,NA,NA,NA,NA,NA,NA,NA,Somwhat concerned,Extremely concerned,Neither concerned nor unconcerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Neither concerned nor unconcerned,NA,Extremely concerned,Somwhat concerned,Extremely concerned,Somwhat concerned,Extremely concerned,Neither concerned nor unconcerned,Somwhat concerned,NA,NA,Social media,NA,E-mail,Banking and payments,NA,NA,NA,NA,NA,Show All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Rather agree,Agree,Rather agree,Rather agree,Agree,1984,Female,NA,NA,NA,NA,NA,White,NA,NA,NA,NA,"College graduate (B.S., B.A., or other 4 year degree)",NA,Employed full-time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ENGINEER,NA,"$60,000 to $69,999",More than 10 or All my life,3,Married,NA,NOTHING,Translate,NA,Somewhat agree
